draw,flips,value_gain
247,5,0.03702148062085865
248,4,-0.0033470189200825637
249,6,-0.004861220210198802
250,5,-0.009030478990841834
251,4,-0.003041623223745331
252,6,0.037848822911804476
253,5,0.008594070612722313
254,5,0.02701382917626168
255,4,0.008329385188673337
256,4,0.0017409835421506956
257,4,-0.012113819180106192
258,5,0.006150858456202705
259,4,-0.014946295445571498
260,4,-0.0034996117931756585
261,6,-0.00729837057236911
262,5,0.018367300268586812
263,6,0.012406670599869753
264,3,-0.0013042445780750297
265,4,0.03786280290358255
266,3,0.0030430119821367113
267,5,-0.015751451577638652
268,4,-0.0014126509634292037
269,4,0.009958193714325702
270,4,-0.009680782197627457
271,5,0.009664252748622216
272,6,-0.0043873064773308264
273,3,0.007675716412630111
274,5,-0.008058693685456185
275,5,-0.008321613724058478
276,5,-0.014409009357909865
277,4,-0.0065101218324572
278,5,-0.03374923008846719
279,6,-0.009520989123941408
280,6,-0.025019868478881886
281,4,-0.00482441662662186
282,3,-0.007128663181859931
283,4,-0.012654168353593495
284,4,0.012603121058699401
285,4,0.009967776060691831
286,6,0.024834792576795224
287,5,0.015705144986766322
288,3,-0.012386266264563286
289,2,0.006812552930381104
290,4,-0.001445906336311805
291,4,0.006112202786685495
292,5,-0.027177817983041763
293,5,0.006769487628962295
294,5,0.0015240822374469627
295,3,0.01202006129875595
296,4,-0.0063830905979634115
297,4,0.011365717474248787
298,2,0.019522574047340573
299,4,-0.02097979538225207
300,5,-0.019834919642522132
301,5,0.017012707677062432
302,3,-0.012296730236005748
303,5,0.02144266766678876
304,4,0.013442109494690428
305,2,-0.013554883114059994
306,4,-0.013044809719291155
307,5,0.032927000552790645
308,5,0.02175572351872249
309,6,-0.0029985998319925567
310,6,0.008673681491294175
311,4,0.020444933453389862
312,3,-0.01323063314313322
313,4,-0.03039325669545241
314,5,-0.02939638034923738
315,4,0.004991512855087972
316,6,0.045318776706282975
317,5,0.05252102298509807
318,5,-0.013190858456136418
319,6,0.016079291300973964
320,4,0.02162003454081561
321,6,0.008895158276892516
322,4,-0.00941340956630947
323,6,-0.00031183642903596145
324,5,-0.03621053841500834
325,3,0.02745841050866489
326,5,-0.0015283546560793501
327,4,-0.04356506915995667
328,4,0.013314887451693846
329,5,-0.008774523839323388
330,5,0.030869794167321263
331,5,-0.0038085879745310787
332,5,-0.001243245729691372
333,2,0.0016958125460513828
334,4,0.003112688190962237
335,4,0.0003863881978001376
336,6,-0.01815300013400943
337,3,0.0068604020961757495
338,6,-0.002943434512539517
339,6,-0.008141736105103797
340,5,-0.03553961861800252
341,5,-0.023678144944366427
342,5,0.0018816332234272107
343,3,-0.016241658805301706
344,7,0.04163802161184507
345,2,-0.020488425463919654
346,5,0.007407726816287214
347,6,0.034077343264904185
348,5,0.03104149789657918
349,5,0.00856875584107483
350,4,-0.0006787816892340493
351,4,0.010027925199281976
352,6,-0.004500971746456663
353,5,-0.009815788457089428
354,5,-0.004442177585736775
355,5,0.00804063699585613
356,5,-0.020611079171580133
357,7,-0.014292413570629164
358,5,0.02567206054167234
359,3,-0.007142252457081637
360,3,0.016675538596276455
361,4,0.012070247298754692
362,6,0.023432934904880968
363,3,0.006047220768292659
364,7,0.011516536026566776
365,5,0.00019151294193775982
366,7,0.012083547769900319
367,4,-0.00445845620919908
368,5,0.02227030006296597
369,5,0.017633924052009833
370,4,-0.011631240461687339
371,4,0.012816266632468909
372,3,-0.013080390927373273
373,6,0.029556000807181303
374,2,-0.009254075436907455
375,4,0.0066176478523483
376,7,0.03957150199789602
377,4,0.015329788674451231
378,6,0.014216609113047151
379,6,0.004086603917536949
380,4,-0.02910679610166029
381,5,0.0016494400500100964
382,4,0.013494610230919505
383,4,-0.015611339585672167
384,4,0.003953338034778735
385,4,0.008690730360265854
386,4,-0.03346229547898272
387,5,0.0018388536123920363
388,6,-0.013450824306553128
389,5,0.03502883256615577
390,4,-0.007429115930077597
391,6,-0.036330786148002475
392,4,0.01249345370842601
393,4,-0.015587178571014142
394,5,0.0028673579507770166
395,4,0.004702513325606086
396,3,-0.025379499730041843
397,3,0.02327532454767159
398,4,-8.92031038666123e-05
399,6,0.02514580799447898
400,6,-0.008558122869070364
401,4,0.006594756668944922
402,6,-0.01024742563195504
403,3,-0.010435487283552071
404,5,0.011995319268119057
405,5,-0.019999840983988746
406,4,0.05159166582079348
407,5,-0.005814403879366384
408,2,0.004855430255587263
409,4,0.013661852886101488
410,5,-0.014067722138475723
411,3,0.02272147443337177
412,7,0.01655371628444087
413,5,0.002654394609922175
414,6,0.04620619288691951
415,3,0.002843155615618817
416,5,-0.004603802830926259
417,6,-0.03297306580102743
418,4,-0.011450696366653223
419,5,0.0004360798298605494
420,4,0.020890071141080782
421,2,-0.0015338902014573716
422,5,0.003645158061239439
423,4,-0.027352159380060047
424,3,0.0027560021933459087
425,3,0.015861053783389294
426,4,0.004973483663747502
427,3,0.020445126680804036
428,6,0.0015042224009886678
429,3,-0.014644040579440753
430,3,-0.024486603175518692
431,4,-0.0007376392772466495
432,3,0.019858623586944135
433,6,-0.00503026468806846
434,4,-0.02058213483518677
435,6,0.0034187775301962767
436,6,-0.02600538182985697
437,5,0.00819642619278486
438,4,0.01286291145784313
439,5,-0.0008065759519643311
440,2,-0.0019577659646924615
441,6,0.008447319646486482
442,4,-0.0022303958889101
443,3,0.0052616802030397624
444,5,0.016499541361692856
445,6,0.027933139779952564
446,3,0.013543494890089366
447,6,-0.0060940361284231226
448,5,-0.0006666081302027422
449,6,0.06441233660027933
450,5,0.009050823258399109
451,4,-0.015815054939060658
452,5,0.006749426572339042
453,6,0.008686565914736188
454,5,-0.006418335260613839
455,5,0.041434186672763246
456,4,-0.014943800917570922
457,4,-0.006859674028816967
458,6,0.02126880422478652
459,3,-0.023868715573079353
460,7,-0.00022681594081159728
461,6,0.013231658017479256
462,7,-0.0022329856719902758
463,5,0.012659070890959193
464,4,0.007882997105144098
465,6,0.02457549394902535
466,3,0.03160998213121075
467,3,0.04829268759122905
468,2,0.009239743612220245
469,5,0.027403320643755728
470,4,0.0007387899088502212
471,4,0.0007901233446164584
472,4,-0.02104409551408917
473,5,0.0001965658861543141
474,3,-0.02309994423656258
475,5,-0.015357729998142567
476,4,0.045854581896614274
477,5,-0.0035598034751511912
478,5,-0.021948948500422533
479,6,0.015350186708376179
480,6,-0.0022261765029969053
481,5,-0.030601400328385448
482,6,0.021419063237751473
483,5,0.01974409630907843
484,4,0.002391904769433296
485,3,-0.003953471561785155
486,3,0.020907785459167095
487,4,0.014623601265113605
488,4,-0.010198928300360323
489,6,-0.002495845414586302
490,5,0.028814898052472542
491,6,-0.03539789741351581
492,4,0.03216762473387537
493,6,-0.031476152292612795
494,5,0.023549502820013876
495,5,-0.014366335536789874
496,6,0.012192498330629404
497,5,0.004783820750933616
498,4,0.04894046178172397
499,5,0.01418844650332636
500,5,0.030174553579129113
501,5,-0.019767828217165866
502,5,-0.0019078448051643344
503,4,-0.014325569138313968
504,3,0.009332143567704164
505,5,0.001351542594321539
506,4,0.007376032178141637
507,5,0.003141042866349548
508,4,0.011047376651604717
509,3,0.011795264751970397
510,7,-0.010793574860467791
511,4,0.020161235664759993
512,4,-0.0006295314155453419
513,5,0.01630797407070797
514,4,0.030883336621098614
515,3,0.02440264855562276
516,6,-0.0075944104010161745
517,5,0.005370626667731019
518,3,-0.015249075473843276
519,5,0.011477834071045353
520,5,0.009643000100655226
521,4,0.013162450127713018
522,6,0.008255008580896757
523,3,-0.001339752259186697
524,4,-0.002598981376987051
525,5,0.010455051122400617
526,4,0.001860828099426766
527,5,0.00901807700790447
528,5,0.018184371482398085
529,6,0.03216682872137581
530,5,0.02108097676800836
531,5,-0.008222190235299359
532,4,-0.013704106524559972
533,7,-0.018735463612895274
534,5,0.024725913778201394
535,6,-0.003324238447345185
536,3,-0.0055931008604468485
537,5,0.004659539672597163
538,5,-0.008365139927072853
539,4,0.01486474468643432
540,4,0.03792141075336315
541,4,-0.013516477900196553
542,4,0.04290064960877526
543,4,-0.00693812695456132
544,4,0.0007112867867294932
545,7,0.020495668415082186
546,5,-0.034262582826883534
547,4,-0.023344058185540487
548,2,0.0007520136471635076
549,4,0.04717717640053188
550,5,0.017640753257856537
551,3,0.01610418186537426
552,4,0.02033138390687309
553,5,0.016442746799380525
554,4,0.015890447460765667
555,7,0.06671086318250603
556,5,0.007534846129270373
557,4,0.01981200927500881
558,5,-0.02151150463233489
559,7,0.0030168216031627097
560,4,-0.0019143982704842718
561,5,0.01270698573141851
562,3,-0.033828130778451995
563,5,0.01918686972292643
564,6,0.02968967452250236
565,5,0.02455343655155308
566,4,-0.00564576742595423
567,6,0.0007539170683514907
568,3,0.004415465008007741
569,3,0.01687390499912272
570,6,-0.01152515644944451
571,4,-0.011655006748759463
572,4,-0.008950682919721792
573,4,-0.01820472003349433
574,3,-0.029569868966291296
575,3,-0.008931108760768351
576,5,0.013510397249149665
577,4,-0.015431007125168225
578,2,0.00881548882049422
579,4,0.0007629821213962212
580,6,-0.03096736204136707
581,5,-0.00915721914432801
582,7,0.057557094629875835
583,4,-0.012354375521160327
584,4,0.015409015529857645
585,4,0.031972095252234864
586,4,-0.00733360525851632
587,7,0.06676476248344157
588,3,-0.0038075724790634477
589,5,-0.00888399222224649
590,3,-0.004613654371190913
591,3,0.0036791779027419425
592,7,-0.009259294550483015
593,4,0.005896761732828359
594,6,-0.0021782494287582773
595,4,-0.005860980471374164
596,5,0.014881967299883612
597,6,0.034318209826510036
598,5,0.013733127956376469
599,6,-0.0351454641782787
600,5,-0.003243998594976269
601,5,-0.009651825099750468
602,5,0.02574684120743047
603,4,0.013897845347649542
604,6,0.008022842415651238
605,6,-0.017800305658418596
606,5,-0.02388505364801903
607,4,-0.00890987694067654
608,5,0.0399980772299425
609,5,0.007534197392694621
610,5,-0.01777176235350399
611,7,-0.007060760063406623
612,4,0.030560354576503516
613,3,0.001057324185253054
614,7,-0.00394931618595569
615,7,-0.0010435236077146394
616,5,-0.012069113583996231
617,4,0.0002280273662212431
618,5,-0.0014553695945761253
619,5,-0.018545175724970542
620,3,0.030070648320436526
621,5,0.06323388521205885
622,6,0.017278161181596783
623,3,0.0016508364793376893
624,2,-0.0010545861834764631
625,4,-0.0013653581822612281
626,5,0.029912815493699067
627,5,0.014384787811493086
628,4,0.0426240463803397
629,6,0.0034947004580129885
630,3,-0.011227865159026181
631,3,0.01895195458476258
632,4,0.01286705031156468
633,6,-0.010973959162786246
634,6,0.04675655398137083
635,3,0.0027750703367670237
636,4,-0.007893124626927605
637,6,0.02706439732222176
638,5,0.007856687629675264
639,4,-0.017083212773797072
640,5,-0.0038964504867737256
641,7,0.03927812403995438
642,6,0.009094806338128016
643,6,0.01524896527808252
